stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
B206,,"Normandie Ave & Pasatiempo Ln",,  33.806830,-118.298503,,,0,
B207,,"Normandie Ave & Oakhealth Dr",,  33.809601,-118.298361,,,0,
B208,,"Normandie Ave & Sepulveda Bl",,  33.812685,-118.298197,,,0,
B209,,"Normandie Ave & 228th St",,  33.818825,-118.298059,,,0,
B210,,"Normandie Ave & 223rd St",,  33.824210,-118.299184,,,0,
B211,,"Normandie Ave & 220th St",,  33.828350,-118.299193,,,0,
B212,,"Normandie Ave & Carson St",,  33.831211,-118.299201,,,0,
B213,,"Normandie Ave & Levinson St",,  33.834223,-118.299190,,,0,
B214,,"Normandie Ave & 212th St",,  33.837176,-118.299198,,,0,
B215,,"Normandie Ave & Torrance Bl",,  33.842181,-118.299218,,,0,
B216,,"Normandie Ave & 204th St",,  33.845440,-118.299224,,,0,
B217,,"Normandie Ave & Francisco St",,  33.850025,-118.299233,,,0,
B218,,"Normandie Ave & Knox St",,  33.854547,-118.299139,,,0,
B219,,"Normandie Ave & 190th St",,  33.858918,-118.299233,,,0,
B220,,"Normandie Ave & 186th St",,  33.862193,-118.299229,,,0,
B222,,"Harbor Transit Gateway Center",,  33.869701,-118.286996,,,0,
B223,,"Vermont Ave & Artesia Bl",,  33.873256,-118.290891,,,0,
B224,,"Vermont Ave & 170th St",,  33.876821,-118.291027,,,0,
B225,,"Vermont Ave & 168th St",,  33.878948,-118.291114,,,0,
B234,,"Vermont Ave & 140th St",,  33.904613,-118.291537,,,0,
B235,,"Vermont Ave & 138th St",,  33.906404,-118.291601,,,0,
B236,,"Vermont Ave & 135th St",,  33.909525,-118.291579,,,0,
B237,,"Vermont Ave & 132nd St",,  33.912217,-118.291571,,,0,
B238,,"Vermont Ave & 130th St",,  33.914621,-118.291554,,,0,
B239,,"Vermont Ave & El Segundo Bl",,  33.916126,-118.291571,,,0,
B240,,"Vermont Ave & 124th St",,  33.919857,-118.291525,,,0,
B242,,"Vermont Ave & Green Line Station",,  33.928709,-118.291570,,,0,
B243,,"Imperial Hwy & Vermont Ave",,  33.931046,-118.292410,,,0,
B244,,"Imperial Hwy & Budlong Ave",,  33.931070,-118.295189,,,0,
B245,,"Imperial Hwy & Normandie Ave",,  33.931104,-118.300081,,,0,
B246,,"Imperial Hwy & Denker Ave",,  33.931100,-118.304495,,,0,
B247,,"Western Ave & Imperial Hwy",,  33.930327,-118.309124,,,0,
B248,,"Western Ave & 120th St",,  33.923683,-118.309139,,,0,
B249,,"Western Ave & El Segundo Bl",,  33.916143,-118.309159,,,0,
B250,,"Western Ave & 132nd St",,  33.912860,-118.309177,,,0,
B251,,"Western Ave & 135th St",,  33.909534,-118.309186,,,0,
B252,,"Western Ave & 137th St",,  33.907716,-118.309206,,,0,
B253,,"Western Ave & 139th St",,  33.905396,-118.309138,,,0,
B254,,"Western Ave & Rosecrans Ave",,  33.902390,-118.309198,,,0,
B255,,"Western Ave & 146th St",,  33.898808,-118.309241,,,0,
B256,,"Western Ave & 148th St",,  33.896960,-118.309206,,,0,
B257,,"Western Ave & Marine Ave",,  33.894863,-118.309215,,,0,
B264,,"Western Ave & 166th St",,  33.880274,-118.309216,,,0,
B265,,"Western Ave & 169th St",,  33.877471,-118.309212,,,0,
B266,,"Western Ave & Artesia Bl",,  33.873146,-118.309219,,,0,
B267,,"Western Ave & 178th St",,  33.869394,-118.309227,,,0,
B268,,"Western Ave & 182nd St",,  33.865236,-118.309237,,,0,
B269,,"Western Ave & 186th St",,  33.862313,-118.309232,,,0,
B270,,"Western Ave & 190th St",,  33.858089,-118.309429,,,0,
B271,,"Western Ave & Toyota Way",,  33.854112,-118.309547,,,0,
B272,,"Western Ave & Western Way",,  33.849228,-118.309323,,,0,
B273,,"Western Ave & Del Amo Bl",,  33.846425,-118.309374,,,0,
B274,,"Western Ave & 205th St",,  33.844396,-118.309344,,,0,
B275,,"Western Ave & 208th St",,  33.841500,-118.309320,,,0,
B276,,"Western Ave & Torrance Bl",,  33.837641,-118.309283,,,0,
B277,,"Western Ave & 213th St",,  33.835141,-118.309312,,,0,
B278,,"Western Ave & Carson St",,  33.831116,-118.309091,,,0,
B279,,"Western Ave & 220th St",,  33.828256,-118.309057,,,0,
B280,,"Western Ave & 223rd St",,  33.824659,-118.309011,,,0,
B281,,"Western Ave & Plaza del Amo",,  33.822784,-118.308985,,,0,
B282,,"Western Ave & Lincoln Ave",,  33.820927,-118.308960,,,0,
B283,,"Western Ave & 228th St",,  33.819240,-118.308944,,,0,
B284,,"Western Ave & Sepulveda Bl",,  33.816738,-118.308937,,,0,
B285,,"Western Ave & 234th St",,  33.813629,-118.308943,,,0,
B286,,"Western Ave & 236th St",,  33.811079,-118.308826,,,0,
B287,,"Western Ave & 238th St",,  33.808838,-118.308215,,,0,
B288,,"Western Ave & 242nd Pl",,  33.804583,-118.307531,,,0,
B289,,"Western Ave & 247th St",,  33.801071,-118.307566,,,0,
B290,,"Western Ave & Lomita Bl",,  33.798054,-118.307630,,,0,
B291,,"Western Ave & 253rd St",,  33.794702,-118.307728,,,0,
B292,,"Western Ave & 255th St",,  33.792476,-118.307729,,,0,
B293,,"Pacific Coast Hwy & Western Ave",,  33.789440,-118.307461,,,0,
B294,,"Pacific Coast Hwy & President Ave",,  33.789444,-118.304225,,,0,
B295,,"Pacific Coast Hwy & Belle Porte Ave",,  33.789415,-118.301098,,,0,
E300s,,"Bishop Montgomery H.S.",,  33.837469,-118.371902,,,0,
E301,,"South Bay Galleria Mall",,  33.871893,-118.356967,,,0,
E301a,,"South Bay Galleria - Bay 5",,  33.872170,-118.356924,,,0,
E302,,"Redondo Beach Bl & Hawthorne Bl",,  33.874603,-118.352020,,,0,
E303,,"Redondo Beach Bl & Amie Ave",,  33.875783,-118.348550,,,0,
E304,,"Redondo Beach Bl & Prarie Ave",,  33.877385,-118.343371,,,0,
E305,,"Redondo Beach Bl & Ainsworth Ave",,  33.878592,-118.339816,,,0,
E306,,"Redondo Beach Bl & Yukon Ave",,  33.880175,-118.334941,,,0,
E307,,"Redondo Beach Bl & Crenshaw Bl",,  33.883147,-118.325727,,,0,
E308,,"Redondo Beach Bl & Wilkie Ave",,  33.883889,-118.323285,,,0,
E309,,"Redondo Beach Bl & Van Ness Ave",,  33.886109,-118.316588,,,0,
E310,,"Redondo Beach Bl & Gramercy Pl",,  33.887322,-118.312830,,,0,
E311,,"Redondo Beach Bl & Western Ave",,  33.888635,-118.308760,,,0,
E312,,"Redondo Beach Bl & Denker Ave",,  33.889744,-118.305120,,,0,
E313,,"Redondo Beach Bl & Nuanu Dr",,  33.890422,-118.303024,,,0,
E314,,"Redondo Beach Bl & Normandie Ave",,  33.891488,-118.299715,,,0,
E315,,"Redondo Beach Bl & Raymond Ave",,  33.891938,-118.298377,,,0,
E316,,"Redondo Beach Bl & Budlong Ave",,  33.892341,-118.295774,,,0,
E324,,"Gardena Bl & Hoover St",,  33.881638,-118.286677,,,0,
E325,,"Gardena Bl & Figueroa St",,  33.881772,-118.283031,,,0,
E326,,"Gardena Bl & Broadway",,  33.881958,-118.278036,,,0,
E327,,"Main St & Gardena Bl",,  33.882206,-118.275729,,,0,
E328,,"Main St & Alondra Bl",,  33.885385,-118.275919,,,0,
E329,,"Alondra Bl & Maple Ave",,  33.885762,-118.271050,,,0,
E330,,"Alondra Bl & Avalon Bl",,  33.885958,-118.265606,,,0,
E331,,"Alondra Bl & Haskins Ln",,  33.886078,-118.261168,,,0,
E332,,"Alondra Bl & McKinley Ave",,  33.886161,-118.259205,,,0,
E333,,"Alondra Bl & Clymar Ave",,  33.886248,-118.257312,,,0,
E334,,"Alondra Bl & Aprilla Ave",,  33.886535,-118.254353,,,0,
E335,,"Alondra Bl & Central Ave",,  33.888242,-118.250329,,,0,
E336,,"Alondra Bl & Nestor Ave",,  33.888399,-118.247167,,,0,
E337,,"Alondra Bl & Northwood Ave",,  33.888427,-118.243806,,,0,
E338,,"Alondra Bl & Dwight Ave",,  33.888445,-118.241348,,,0,
E339,,"Wilmington Ave & Alondra Bl",,  33.888906,-118.237091,,,0,
E340,,"Wilmington Ave & Laurel St",,  33.892559,-118.237318,,,0,
E341,,"Wilmington Ave & Compton Bl",,  33.895590,-118.237479,,,0,
E342,,"Compton Bl & Matthisen Ave",,  33.895815,-118.234012,,,0,
E343,,"Compton Bl & Aranbe Ave",,  33.895849,-118.231988,,,0,
E344,,"Compton Bl & Orleander Ave",,  33.895878,-118.228449,,,0,
E345,,"Compton Bl & Acacia Ave",,  33.895909,-118.226743,,,0,
E346,,"Compton Bl & Willowbrook Ave",,  33.895849,-118.225243,,,0,
E347,,"MLK Transit Center",,  33.898111,-118.223107,,,0,
E401,,"147th St & Hawthorne Bl",,  33.898203,-118.352049,,,0,
E402,,"147th St & Freeman Ave",,  33.898203,-118.348808,,,0,
E403,,"147th St & Osage Ave",,  33.898202,-118.346321,,,0,
E404,,"147th St & Prarie Ave",,  33.898245,-118.344174,,,0,
E409,,"Manhattan Beach Bl & Crenshaw Bl",,  33.887333,-118.326248,,,0,
E410,,"Manhattan Beach Bl & Marigold Ave",,  33.887324,-118.323117,,,0,
E411,,"Manhattan Beach Bl & Arcturus Ave",,  33.887260,-118.321281,,,0,
E412,,"Van Ness Ave & 157th St",,  33.887747,-118.317776,,,0,
E413,,"Van Ness Ave & 156th St",,  33.889092,-118.317762,,,0,
E414,,"Van Ness Ave & 154th Pl",,  33.891277,-118.317762,,,0,
E415,,"Van Ness Ave & Marine Ave",,  33.894542,-118.317828,,,0,
E416,,"Van Ness Ave & 146th Pl",,  33.898115,-118.317824,,,0,
E417,,"Van Ness Ave & Rosecrans Ave",,  33.901680,-118.317842,,,0,
E418,,"Van Ness Ave & 139th St",,  33.905385,-118.317815,,,0,
E419,,"135th St & Van Ness Ave",,  33.909162,-118.317431,,,0,
E420,,"135th St & Gramercy Pl",,  33.909163,-118.313690,,,0,
E421,,"135th St & Western Ave",,  33.909163,-118.309422,,,0,
E423,,"135th St & Halldale Ave",,  33.909166,-118.302581,,,0,
E424,,"135th St & Normandie Ave",,  33.909163,-118.300627,,,0,
E425,,"Normandie Ave & 139th St",,  33.905295,-118.300493,,,0,
E426,,"Normandie Ave & Rosecrans Ave",,  33.901321,-118.300495,,,0,
E427,,"Normandie Ave & 146th St",,  33.898767,-118.300422,,,0,
E428,,"Normandie Ave & 148th St",,  33.897172,-118.300474,,,0,
E429,,"Normandie Ave & Marine Ave",,  33.894957,-118.300519,,,0,
E430,,"Normandie Ave & Redondo Beach Bl",,  33.890965,-118.300021,,,0,
E431,,"Normandie Ave & 158th St",,  33.887563,-118.299420,,,0,
E432,,"Normandie Ave & 160th St",,  33.885242,-118.299525,,,0,
E433,,"Normandie Ave & 163rd St",,  33.883077,-118.299651,,,0,
E434,,"Normandie Ave & 166th St",,  33.879865,-118.299818,,,0,
E435,,"Normandie Ave & 170th St",,  33.876190,-118.299291,,,0,
E436,,"Normandie Ave & Artesia Bl",,  33.873959,-118.298930,,,0,
E437,,"Normandie Ave & 178th St",,  33.868951,-118.299184,,,0,
E438,,"Normandie Ave & 179th St",,  33.867679,-118.299215,,,0,
E439,,"182nd St & Normandie Ave",,  33.865937,-118.298654,,,0,
E440,,"Harbor Gateway Transit Center",,  33.869148,-118.287799,,,0,
E501,,"Aviation Station",,  33.929573,-118.376648,,,0,
E502,,"El Segundo Bl & Aviation Bl",,  33.916279,-118.378254,,,0,
E503,,"El Segundo Bl & Isis Ave",,  33.916288,-118.374777,,,0,
E504,,"El Segundo Bl & Oceangate Ave",,  33.916285,-118.366519,,,0,
E505,,"El Segundo Bl & Shoup Ave",,  33.916292,-118.364472,,,0,
E506,,"El Segundo Bl & Inglewood Ave",,  33.916316,-118.360852,,,0,
