Name,Latitude,Longitude
BALBOA ST & 8TH AVE,37.777199,-122.466038
BALBOA ST & 8TH AVE,37.777065,-122.466256
BALBOA ST & 10TH AVE,37.777101,-122.46817
BALBOA ST & 10TH AVE,37.776967,-122.468388
BALBOA ST & 12TH AVE,37.777002,-122.470313
BALBOA ST & 12TH AVE,37.776868,-122.470531
BALBOA ST & 14TH AVE,37.77678,-122.4727
BALBOA ST & 17TH AVE,37.77676,-122.475769
BALBOA ST & 17TH AVE,37.776626,-122.475987
BALBOA ST & 19TH AVE,37.776662,-122.477912
BALBOA ST & 19TH AVE,37.776528,-122.47813
BALBOA ST & 21ST AVE,37.776563,-122.480056
BALBOA ST & 21ST AVE,37.776429,-122.480273
BALBOA ST & 23RD AVE,37.77647,-122.48219
BALBOA ST & 23RD AVE,37.77633,-122.482417
BALBOA ST & 25TH AVE,37.776356,-122.484606
BALBOA ST & 25TH AVE,37.77624,-122.484296
BALBOA ST & 28TH AVE,37.776222,-122.487551
BALBOA ST & 28TH AVE,37.776088,-122.487769
BALBOA ST & 30TH AVE,37.776114,-122.489958
BALBOA ST & 30TH AVE,37.775989,-122.489912
BALBOA ST & 32ND AVE,37.776024,-122.491838
BALBOA ST & 32ND AVE,37.77589,-122.492056
BALBOA ST & 34TH AVE,37.775791,-122.494199
BALBOA ST & 35TH AVE,37.775898,-122.494577
BALBOA ST & 37TH AVE,37.775781,-122.497202
BALBOA ST & 37TH AVE,37.775647,-122.497419
BALBOA ST & 40TH AVE,37.775637,-122.500399
BALBOA ST & 40TH AVE,37.775503,-122.500617
BALBOA ST & 43RD AVE,37.775484,-122.50362
BALBOA ST & 43RD AVE,37.77535,-122.503838
BALBOA ST & ARGUELLO BLVD,37.77747,-122.45886
BALBOA ST & LA PLAYA ST,37.775186,-122.510313
BALBOA ST & PARK PRESIDIO BLVD,37.776895,-122.472227
BALBOA ST & PARK PRESIDIO BLVD,37.776788,-122.472411
BRODERICK ST & BAY ST,37.801541,-122.444798
BRODERICK ST & BEACH ST,37.803629,-122.445222
BRODERICK ST & BEACH ST,37.803415,-122.445176
BRODERICK ST & FRANCISCO ST,37.800622,-122.444603
BRODERICK ST & JEFFERSON ST,37.804343,-122.44536
BRODERICK ST & NORTH POINT ST,37.802478,-122.444982
BROADWAY & BATTERY ST,37.798543,-122.400726
BROADWAY & DAVIS ST,37.79897,-122.39858
BROADWAY & THE EMBARCADERO,37.799086,-122.397791
BROADWAY & GRANT AVE,37.797831,-122.406345
BROADWAY & MONTGOMERY ST,37.798134,-122.40396
BROADWAY & STEINER ST,37.794131,-122.436442
BROADWAY & STEINER ST,37.794056,-122.436278
BROADWAY & STOCKTON ST,37.797591,-122.408294
BEALE ST & HOWARD ST,37.789805,-122.394289
BEALE ST & MISSION ST,37.791939,-122.396879
BEACH ST & DIVISADERO ST,37.803629,-122.443674
MARINA BLVD & LAGUNA ST,37.80513,-122.43221
BEACH ST & MASON ST,37.807407,-122.414125
BEACH ST & POLK ST,37.806375,-122.423195
BEACH ST & SCOTT ST,37.80378,-122.44258
BEACH ST & STOCKTON ST,37.807841,-122.41081
BEMIS ST & MOFFITT ST,37.736655,-122.431181
3RD ST & 16TH ST,37.76719,-122.38899
3RD ST & 16TH ST,37.76658,-122.38919
3RD/BTW 16TH AND GENE FRIEND,37.766579,-122.389189
1730 3RD ST,37.76781,-122.38935
3RD ST & 18TH ST,37.76336,-122.38863
3RD ST & 18TH ST,37.76269,-122.38883
3RD ST & 20TH ST,37.76079,-122.38846
3RD ST & 20TH ST,37.76059,-122.3887
3RD ST & 22ND ST,37.75817,-122.38821
3RD ST & 22ND ST,37.75803,-122.38845
3RD ST & 23RD ST,37.75569,-122.3879
3RD ST & 23RD ST,37.75506,-122.3881
3RD ST & 25TH ST,37.75313,-122.38766
3RD ST & 25TH ST,37.75255,-122.38786
3RD ST & CESAR CHAVEZ ST,37.750337,-122.387501
3RD ST & BAYVIEW ST,37.73228,-122.391559
3RD ST & BRANNAN ST,37.779285,-122.393185
3RD ST & CARROLL AVE,37.72567,-122.3943
3RD ST & CARROLL AVE,37.7253,-122.3942
3RD ST & CESAR CHAVEZ ST,37.7504,-122.38772
3RD ST & CARGO WAY,37.74585,-122.38705
3RD ST & EGBERT AVE,37.72416,-122.39498
3RD ST & EGBERT AVE,37.7238,-122.39488
3RD ST & EVANS AVE,37.742682,-122.387908
3RD ST & EVANS AVE,37.74244,-122.38815
3RD ST & FOLSOM ST,37.784204,-122.399326
3RD ST & GILMAN AVE,37.72263,-122.39541
3RD ST & GALVEZ AVE,37.74089,-122.3887
3RD ST & HUDSON AVE,37.74012,-122.3887
3RD ST & HOWARD ST,37.784945,-122.400254
3RD ST & INNES AVE,37.73932,-122.38926
3RD ST & INGERSON AVE,37.72119,-122.39606
3RD ST & JERROLD AVE,37.73891,-122.38912
3RD ST & JERROLD AVE,37.73891,-122.38913
3RD ST & KEY ST,37.71977,-122.39671
3RD ST & LA SALLE AVE,37.737213,-122.389803
3RD ST & KIRKWOOD AVE,37.737927,-122.389619
3RD ST & STEVENSON ST,37.786373,-122.40211
3RD ST & MARKET ST,37.787632,-122.403439
3RD ST & NEWCOMB AVE,37.73541,-122.39035
3RD ST & OAKDALE AVE,37.73507,-122.39048
3RD ST & PALOU AVE,37.734135,-122.390813
3RD ST & PALOU AVE,37.734091,-122.390928
3RD ST & OAKDALE AVE,37.734787,-122.390721
3RD ST & PERRY ST,37.782106,-122.396805
3RD ST & REVERE AVE,37.73225,-122.39146
3RD ST & SALINAS AVE,37.72078,-122.39649
3RD ST & THOMAS AVE,37.73067,-122.39202
3RD ST & THORNTON AVE,37.73044,-122.39237
3RD ST & VAN DYKE AVE,37.729238,-122.392593
3RD ST & WILLIAMS AVE,37.729166,-122.392776
3RD ST & YOSEMITE AVE,37.72791,-122.39302
3RD ST & YOSEMITE AVE,37.72792,-122.39328
4TH ST & 3RD ST,37.772966,-122.389694
4TH ST & BERRY ST,37.77529,-122.39282
4TH ST & BRANNAN ST,37.778305,-122.396602
4TH ST & BERRY ST,37.77548,-122.39279
4TH ST & FOLSOM ST,37.781804,-122.401012
4TH ST & HOWARD ST,37.783036,-122.402548
4TH ST & MISSION ST,37.784259,-122.404117
4TH ST & MARKET ST,37.785527,-122.405675
4TH ST & TOWNSEND ST,37.777064,-122.394872
4TH ST & TOWNSEND ST,37.777109,-122.395135
4TH ST & TOWNSEND ST,37.776894,-122.394895
4TH ST & TOWNSEND ST,37.77701,-122.394746
5TH ST & BRANNAN ST,37.77654,-122.39857
5TH ST & FOLSOM ST,37.78031,-122.40357
5TH ST & HARRISON ST,37.77931,-122.40205
5TH ST & HOWARD ST,37.78145,-122.40475
5TH ST & HOWARD ST,37.78123,-122.40474
5TH ST & MISSION ST,37.78296,-122.40665
5TH ST & MISSION ST,37.78277,-122.40665
5TH ST & TOWNSEND ST,37.77549,-122.39716
6TH AVE & ANZA ST,37.779171,-122.464239
6TH AVE & ANZA ST,37.779002,-122.464044
6TH AVE & BALBOA ST,37.777146,-122.463918
6TH AVE & BALBOA ST,37.776985,-122.46409
6TH AVE & CABRILLO ST,37.775611,-122.463803
6TH AVE & CLEMENT ST,37.783053,-122.464377
6TH AVE & CLEMENT ST,37.783026,-122.464526
6TH AVE & CORNWALL ST,37.784673,-122.46448
6TH AVE & FULTON ST,37.773809,-122.463745
6TH AVE & GEARY BLVD,37.780876,-122.464182
6TH AVE & GEARY BLVD,37.780768,-122.464354
6TH ST & HARRISON ST,37.77732,-122.40424
1697 7TH AVE,37.756597,-122.463741
1697 7TH AVE,37.756767,-122.46357
7TH AVE & CLEMENT ST,37.783133,-122.46542
7TH ST & BRANNAN ST,37.773266,-122.403367
7TH ST & FOLSOM ST,37.776864,-122.407904
7TH ST & HARRISON ST,37.77573,-122.40646
7TH ST & HOWARD ST,37.777935,-122.409222
7TH ST & MISSION ST,37.779327,-122.411032
7TH ST & MARKET ST,37.780309,-122.412395
7TH ST & TOWNSEND ST,37.772034,-122.401821
8TH AVE & CALIFORNIA ST,37.784465,-122.466704
8TH AVE & CABRILLO ST,37.775183,-122.465923
8TH AVE & CABRILLO ST,37.775022,-122.466095
8TH AVE & FULTON ST,37.773639,-122.465808
8TH AVE & FULTON ST,37.773478,-122.46598
8TH ST & BRANNAN ST,37.771554,-122.405901
8TH ST & BRYANT ST,37.772536,-122.407127
8TH ST & FOLSOM ST,37.774767,-122.409922
8TH ST & HARRISON ST,37.773536,-122.408376
8TH ST & HOWARD ST,37.776222,-122.411755
8TH ST & MISSION ST,37.77724,-122.413027
8TH ST & MARKET ST,37.778498,-122.414597
8TH ST & TOWNSEND ST,37.770161,-122.404126
9TH AVE & IRVING ST,37.764288,-122.466241
9TH AVE & IRVING ST,37.763913,-122.466241
9TH AVE & IRVING ST,37.763797,-122.46639
9TH AVE & JUDAH ST,37.762093,-122.46608
9TH AVE & JUDAH ST,37.76204,-122.466241
9TH AVE & KIRKHAM ST,37.760407,-122.466149
9TH AVE & KIRKHAM ST,37.760237,-122.465954
9TH AVE & LAWTON ST,37.758533,-122.466022
9TH AVE & LAWTON ST,37.758364,-122.465827
9TH AVE & LINCOLN WAY,37.76585,-122.466345
9TH AVE & LINCOLN WAY,37.765689,-122.466517
9TH AVE & MORAGA ST,37.756677,-122.465884
9TH AVE & MORAGA ST,37.756508,-122.465689
9TH AVE & NORIEGA ST,37.754804,-122.465758
9TH AVE & NORIEGA ST,37.754634,-122.465551
9TH AVE & ORTEGA ST,37.752939,-122.465631
9TH ST & AVENUE C,37.823397,-122.374286
9TH ST & AVENUE E,37.824599,-122.371452
9TH ST & AVENUE H,37.825196,-122.370063
10TH AVE & ORTEGA ST,37.752724,-122.466502
10TH AVE & PACHECO ST,37.75086,-122.466376
10TH AVE & PACHECO ST,37.750699,-122.466547
10TH AVE & QUINTARA ST,37.749325,-122.466261
10TH AVE & QUINTARA ST,37.749164,-122.466432
11TH ST & BRYANT ST,37.769807,-122.4113
11TH ST & FOLSOM ST,37.77212,-122.41422
11TH ST & FOLSOM ST,37.77159,-122.41381
11TH ST & HARRISON ST,37.770691,-122.412526
11TH ST & HARRISON ST,37.770557,-122.412492
11TH ST & HOWARD ST,37.77333,-122.41573
11TH ST & HOWARD ST,37.77283,-122.41538
11TH ST & MISSION ST,37.77457,-122.41732
11TH ST & MISSION ST,37.774038,-122.416891
11TH ST & MARKET ST,37.7755,-122.41852
11TH ST & MARKET ST,37.775368,-122.418575
13TH ST & GATEVIEW AVE,37.82841,-122.371964
14TH AVE & QUINTARA ST,37.74887,-122.47074
14TH AVE & SANTIAGO ST,37.74503,-122.4703
14TH AVE & TARAVAL ST,37.7434,-122.4703
14TH AVE & TARAVAL ST,37.74317,-122.47017
14TH AVE & ULLOA ST,37.7416,-122.47004
14TH AVE & ULLOA ST,37.74153,-122.47018
14TH ST & ALPINE TER,37.767296,-122.437213
14TH ST & CHURCH ST,37.767768,-122.429088
14TH ST & CHURCH ST,37.76767,-122.42913
14TH ST & CASTRO ST,37.76738,-122.43584
14TH ST & CASTRO ST,37.76728,-122.43578
14TH ST & NOE ST,37.76751,-122.43327
14TH ST & NOE ST,37.7674,-122.43356
14TH ST & SANCHEZ ST,37.76767,-122.431105
14TH ST & SANCHEZ ST,37.767536,-122.431277
