"","ZipCode","Population","HouseholdsPerZipCode","PersonsPerHousehold","AverageHouseValue","IncomePerHousehold","Latitude","Longitude","CountyName","popden","electricity(kWh)","Nat.Gas(cu.ft.)","FUELOIL(gallons)","Vehiclemilestraveled","Transport(tCO2e/yr)","incomelevels","stoplevels","distance","number_of_stops"
"1","94102",28991,"17339","1.69",439600,22351,37.779805,-122.417362,"SANFRANCISCO"," 44,408 "," 2,984 "," 2,984 "," 2,984 "," 6,428 ",5.04,"$0-$40K","200+","within1km",246
"2","94103",23016,"10093","2.04",386400,31131,37.773969,-122.410448,"SANFRANCISCO"," 17,319 "," 3,501 "," 3,501 "," 3,501 "," 7,970 ",6.25,"$0-$40K","176-200","within1km",183
"3","94104",374,"283","1.8",625000,14609,37.791257,-122.400811,"SANFRANCISCO"," 4,624 "," 2,604 "," 2,604 "," 2,604 "," 5,959 ",4.35,"$0-$40K","200+","within1km",334
"4","94105",2058,"1473","1.41",387700,88976,37.788462,-122.394608,"SANFRANCISCO"," 6,073 "," 3,611 "," 3,611 "," 3,611 "," 13,042 ",11.88,"$80K-$100K","200+","within1km",240
"5","94107",17368,"9816","1.82",506700,61362,37.7757,-122.3952,"SANFRANCISCO"," 7,060 "," 4,380 "," 4,380 "," 4,380 "," 13,651 ",11.03,"$60K-$80K","101-125","within1km",103
"6","94108",13716,"8361","1.78",828900,31542,37.79203,-122.406849,"SANFRANCISCO"," 52,649 "," 3,194 "," 3,194 "," 3,194 "," 6,881 ",5.67,"$0-$40K","200+","within1km",350
"7","94109",56322,"35891","1.64",663600,43444,37.793547,-122.419329,"SANFRANCISCO"," 45,974 "," 3,567 "," 3,567 "," 3,567 "," 8,323 ",7.08,"$40K-$60K","200+","within1km",253
"8","94110",74633,"26918","2.81",361700,53795,37.748423,-122.413671,"SANFRANCISCO"," 31,503 "," 5,250 "," 5,250 "," 5,250 "," 12,697 ",9.88,"$40K-$60K","126-150","within1km",134
"9","94111",3335,"2727","1.45",585900,56569,37.797476,-122.399089,"SANFRANCISCO"," 6,601 "," 3,449 "," 3,449 "," 3,449 "," 9,466 ",8.37,"$40K-$60K","200+","within1km",236
"10","94112",73104,"20652","3.59",317700,57629,37.720114,-122.440383,"SANFRANCISCO"," 22,259 "," 6,608 "," 6,608 "," 6,608 "," 19,082 ",13.76,"$40K-$60K","151-175","within1km",158
