"","ZipCode","Population","HouseholdsPerZipCode","PersonsPerHousehold","AverageHouseValue","IncomePerHousehold","Latitude","Longitude","CountyName","popden","electricity(kWh)","Nat.Gas(cu.ft.)","FUELOIL(gallons)","Vehiclemilestraveled","Transport(tCO2e/yr)","incomelevels","stoplevels","distance","number_of_stops"
"688","90815",38892,"15411","2.42",242500,61074,33.794933,-118.11685,"LOSANGELES"," 5,328 "," 7,016 "," 7,016 "," 7,016 "," 24,067 ",17.27,"$60K-$80K","26-50","within3km",258
"689","91001",36235,"12776","2.87",258000,63543,34.191818,-118.138672,"LOSANGELES"," 4,076 "," 9,273 "," 9,273 "," 9,273 "," 25,683 ",18.25,"$60K-$80K","26-50","within3km",169
"690","91006",30010,"10940","2.86",337200,58779,34.1378,-118.0247,"LOSANGELES"," 5,005 "," 8,273 "," 8,273 "," 8,273 "," 25,221 ",17.77,"$40K-$60K","26-50","within3km",161
"691","91007",30925,"11859","2.63",384100,51255,34.127509,-118.04943,"LOSANGELES"," 5,640 "," 6,968 "," 6,968 "," 6,968 "," 22,395 ",15.79,"$40K-$60K","26-50","within3km",199
"692","91010",27400,"8315","3.31",170200,50634,34.138317,-117.963453,"LOSANGELES"," 2,891 "," 7,814 "," 7,814 "," 7,814 "," 25,483 ",17.49,"$40K-$60K","0-25","within3km",55
"693","91011",20187,"7019","2.94",583500,109802,34.20978,-118.20186,"LOSANGELES","527"," 10,567 "," 10,567 "," 10,567 "," 35,911 ",26.4,"$100K+","0-25","within3km",30
"694","91016",41050,"15188","2.76",224800,46468,34.142773,-117.999564,"LOSANGELES"," 4,664 "," 7,228 "," 7,228 "," 7,228 "," 21,308 ",14.89,"$40K-$60K","26-50","within3km",117
"695","91020",7515,"3291","2.25",248700,41580,34.210826,-118.228843,"LOSANGELES"," 9,993 "," 5,987 "," 5,987 "," 5,987 "," 19,840 ",13.94,"$40K-$60K","0-25","within3km",62
"696","91024",10545,"4914","2.2",369200,65862,34.1684,-118.0516,"LOSANGELES"," 1,525 "," 7,739 "," 7,739 "," 7,739 "," 25,557 ",18.45,"$60K-$80K","0-25","within3km",73
"697","91030",23975,"10716","2.3",384500,55701,34.111415,-118.155569,"LOSANGELES"," 6,921 "," 6,379 "," 6,379 "," 6,379 "," 21,617 ",15.58,"$40K-$60K","26-50","within3km",250
"698","91040",18748,"7260","2.62",200900,51894,34.260514,-118.330679,"LOSANGELES"," 1,282 "," 7,879 "," 7,879 "," 7,879 "," 26,807 ",18.54,"$40K-$60K","0-25","within3km",63
"699","91042",26738,"10109","2.69",197400,42882,34.254843,-118.283396,"LOSANGELES","682"," 7,211 "," 7,211 "," 7,211 "," 24,473 ",16.71,"$40K-$60K","0-25","within3km",55
"700","91101",16809,"9228","1.85",202200,38187,34.147394,-118.139138,"LOSANGELES"," 12,934 "," 4,602 "," 4,602 "," 4,602 "," 13,751 ",10.14,"$0-$40K","101-125","within3km",366
"701","91103",27887,"8359","3.33",209600,34824,34.165947,-118.162866,"LOSANGELES"," 5,959 "," 7,041 "," 7,041 "," 7,041 "," 18,516 ",12.56,"$0-$40K","0-25","within3km",219
"702","91104",38449,"13424","2.94",253100,41815,34.168285,-118.12089,"LOSANGELES"," 10,041 "," 7,280 "," 7,280 "," 7,280 "," 20,493 ",14.15,"$40K-$60K","26-50","within3km",308
"703","91105",10245,"4867","2.13",495900,83737,34.137505,-118.165612,"LOSANGELES"," 2,530 "," 7,995 "," 7,995 "," 7,995 "," 24,380 ",18.47,"$80K-$100K","0-25","within3km",276
"704","91106",23725,"10997","2.18",370400,46617,34.140761,-118.12728,"LOSANGELES"," 8,139 "," 5,719 "," 5,719 "," 5,719 "," 17,641 ",12.8,"$40K-$60K","51-75","within3km",329
"705","91107",32360,"13134","2.52",311300,56426,34.152027,-118.087574,"LOSANGELES"," 3,888 "," 7,554 "," 7,554 "," 7,554 "," 22,547 ",16.12,"$40K-$60K","51-75","within3km",249
"706","91108",13149,"4525","3.02",688700,119147,34.119532,-118.11687,"LOSANGELES"," 3,467 "," 10,702 "," 10,702 "," 10,702 "," 33,313 ",25.16,"$100K+","0-25","within3km",199
"707","91201",23978,"8571","2.86",299400,38179,34.169986,-118.290331,"LOSANGELES"," 10,112 "," 6,320 "," 6,320 "," 6,320 "," 20,553 ",14.06,"$0-$40K","26-50","within3km",158
"708","91202",21971,"9048","2.49",346000,49818,34.167248,-118.267059,"LOSANGELES"," 9,971 "," 6,421 "," 6,421 "," 6,421 "," 21,682 ",15.33,"$40K-$60K","0-25","within3km",143
