"","ZipCode","Population","HouseholdsPerZipCode","PersonsPerHousehold","AverageHouseValue","IncomePerHousehold","Latitude","Longitude","CountyName","popden","electricity(kWh)","Nat.Gas(cu.ft.)","FUELOIL(gallons)","Vehiclemilestraveled","Transport(tCO2e/yr)","within1km","within2km","within3km","incomelevels","stoplevels"
"119","90650",103211,"27526","3.79",161000,46012,33.906949,-118.080646,"LOSANGELES"," 10,539 "," 7,758 "," 7,758 "," 7,758 "," 23,755 ",16.11,27,66,126,"$40K-$60K","26-50"
"120","90660",63277,"16764","3.83",166700,41491,33.988278,-118.087492,"LOSANGELES"," 8,090 "," 8,119 "," 8,119 "," 8,119 "," 23,942 ",16.03,6,35,51,"$40K-$60K","0-25"
"121","90670",16263,"4643","3.3",169200,46061,33.935496,-118.068192,"LOSANGELES"," 1,940 "," 7,567 "," 7,567 "," 7,567 "," 25,656 ",17.41,12,30,66,"$40K-$60K","0-25"
"122","90701",16380,"4598","3.54",192300,44500,33.8661,-118.07916,"LOSANGELES"," 10,136 "," 7,451 "," 7,451 "," 7,451 "," 23,145 ",15.74,14,60,119,"$40K-$60K","0-25"
"123","90703",51542,"15604","3.34",280500,72906,33.866635,-118.048458,"LOSANGELES"," 6,051 "," 9,162 "," 9,162 "," 9,162 "," 31,501 ",22.09,5,12,38,"$60K-$80K","0-25"
"124","90704",3696,"1977","2.68",388100,39840,33.341632,-118.328099,"LOSANGELES","49"," 5,145 "," 5,145 "," 5,145 "," 11,767 ",8.78,0,0,0,"$0-$40K","0-25"
"125","90706",72878,"24247","3.09",179800,39362,33.889662,-118.125714,"LOSANGELES"," 11,966 "," 6,376 "," 6,376 "," 6,376 "," 20,004 ",13.71,37,113,218,"$0-$40K","26-50"
"126","90710",24640,"8583","2.96",232400,42299,33.7986,-118.299149,"LOSANGELES"," 10,963 "," 6,376 "," 6,376 "," 6,376 "," 21,422 ",14.74,37,133,245,"$40K-$60K","26-50"
"127","90712",30171,"10858","2.82",202000,59347,33.850542,-118.146637,"LOSANGELES"," 5,044 "," 8,029 "," 8,029 "," 8,029 "," 26,038 ",18.31,43,139,315,"$40K-$60K","26-50"
"128","90713",27549,"9741","2.85",210700,63458,33.849145,-118.108966,"LOSANGELES"," 8,113 "," 8,961 "," 8,961 "," 8,961 "," 27,674 ",19.47,28,90,223,"$60K-$80K","26-50"
